Rank,Player,Pts,Avg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Status,Bye,Salary
34,"Seals-Jones, Ricky WAS TE",98.2,7.554,0,10.8,0,5.8,13.2,21.6,16.2,4.4,0,9,0,0,0,2.6,11.8,0.2,2.6,0,Butchers,9,8
35,"Griffin, Ryan NYJ TE",91.2,6.514,7.4,4,2,2.6,1.8,0,4,2.4,15.6,5.2,10.8,7,11,7.6,9.8,0,0,0,FA,6,6
36,"Swaim, Geoff TEN TE",91,5.688,0,4,8.4,0,0,2.6,2.6,14.6,15.8,9.2,0,2.6,0,12,2,5,10.8,1.4,FA,13,1
37,"Trautman, Adam NOS TE",89.6,6.892,6.6,0,0,1.6,10.6,0,8.2,2.8,13.4,11.4,22.6,0,0,0,1.8,0,0,10.6,FA,6,0
38,"Rudolph, Kyle NYG TE",86.4,5.4,3.6,7,0,8.8,3.8,3.6,3.6,10.4,8,0,6.6,0,5.6,15.2,2.8,0,0,7.4,FA,10,0
39,"Deguara, Josiah GBP TE",86,5.375,0,0,1.8,0,0,1.8,0,6,5.2,3.8,15.4,4.6,0,11.8,6.2,3,4.2,22.2,FA,13,0
40,"Bryant, Harrison CLE TE",85.6,5.35,4.4,13.8,0,1.6,0,0,4,8.6,7.2,5.6,0,13,0,0,10.2,7.2,7.2,2.8,FA,13,0
41,"Hurst, Hayden ATL TE",82.2,6.323,9.6,2.2,0,7.8,14,0,10,2.8,5.2,0,0,0,0,7.6,3.2,12.2,0,7.6,FA,6,1
42,"Parham, Donald LAC TE",77,5.5,0,0,4.8,11.4,14.8,4,0,0,16.8,4.4,11.6,2,2.6,4.6,0,0,0,0,FA,7,0
43,"Bates, John WAS TE",75.8,4.459,0,0,0,0,0,2.4,0,1.8,0,8,7.6,4,11.4,4.8,6.8,17,10,2,FA,9,0
44,"Dissly, Will SEA TE",75.2,5.013,10.4,0,8.8,3,7.8,9.6,0,0,0,6.4,4.2,5.8,5.4,9.6,1.6,0,2.6,0,FA,9,0
45,"Thomas, Logan WAS TE",75.2,12.533,17,14,16.4,0,0,0,0,0,0,0,0,9.2,18.6,0,0,0,0,0,Lemmings,9,4
46,"O'Shaughnessy, James JAC TE",73.8,10.543,15.6,5.8,0,0,0,0,0,0,0,0,0,9.8,4.6,8.2,16,13.8,0,0,Butchers,7,1
47,"Jordan, Brevin HOU TE",73.6,8.178,0,0,0,0,0,0,0,17.2,3.8,0,2.4,13.6,3.4,15.2,0,15.2,2.8,0,FA,10,0
48,"Tonyan, Robert GBP TE",70.8,8.85,3.6,19.4,2.2,3.6,2.6,4,22.6,12.8,0,0,0,0,0,0,0,0,0,0,FA,13,0
49,"Tremble, Tommy CAR TE",70.4,4.4,0,0,13.8,0,10.4,1.1,4.4,6.6,2.2,1.6,9,1.8,0,6.6,2.6,6.4,0,3.9,FA,13,0
50,"Johnson, Juwan NOS TE",68.8,4.914,19.2,5.6,0,12,0,0,2.6,0,0,9.2,0,0,6.4,4,0,0,1.8,8,FA,6,0
51,"Graham, Jimmy CHI TE",66.4,4.427,3.2,0,0,0,0,0,0,0,6.6,0,7,14.8,8.2,3.8,3.6,14,0,5.2,FA,10,0
52,"Lewis, Marcedes GBP TE",63.8,3.753,4.8,0,0,2.4,8.8,5.4,9.2,0,0.8,4,0,0.8,0,14.2,11,2.4,0,0,FA,13,0
53,"Akins, Jordan HOU TE",63.2,4.862,0,4.4,10.4,0.2,5.4,12.2,4.6,15.6,1.4,0,0,0,0,2.2,6.8,0,0,0,FA,10,0
54,"Pruitt, MyCole TEN TE",62,3.875,0,11.6,2.4,4.8,9.8,0,13.4,6.4,0,7.4,0,3,0,2,1.2,0,0,0,FA,13,0
55,"Williams, Maxx ARI TE",60.6,12.12,0,25.8,6.8,24.2,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,12,0
56,"Thomas, Ian CAR TE",58.5,3.441,4.4,2.4,0,6,12,9.2,0,3,5.7,0,2.4,0,0,0,2,1.8,9.6,0,FA,13,0
57,"Kroft, Tyler NYJ TE",56.6,6.289,8.2,2.6,4.4,0,0,0,0,12,9.6,0,0,0,0,0,9,8.8,0,2,FA,6,0
58,"Brown, Pharaoh HOU TE",55.2,3.68,17.4,0,0,2.2,6.4,3.6,5.2,0,0,0,4,0,6.6,0,3,4,2.8,0,FA,10,0
59,"Anderson, Stephen LAC TE",55,3.235,1.2,3.8,0,7.8,0,0.8,0,0,17.8,0,0,5.6,0,3.2,3.4,8.8,2.6,0,FA,7,7
60,"Gentry, Zach PIT TE",52.4,3.082,0.6,0,0,3,3.6,0,0,10.8,0,0,0,3,4,0,4.4,10.2,1,11.8,FA,7,0
61,"Wright, Brock DET TE",47.4,4.74,0,0,0,0,0,0,0,0,0,1.4,3.4,0,13.6,7,0,3.8,0,18.2,Ball Hawks,9,6
62,"Howard, O.J. TBB TE",47,2.765,0,5.2,3.2,0,5.8,21.8,2.8,5.2,0,0,3,0,0,0,0,0,0,0,Whiners,9,7
63,"Jarwin, Blake DAL TE",42.2,5.275,7,10.4,4.8,10.6,0,7.2,0,0,0,0,0,0,0,0,0,0,0,2.2,FA,7,0
64,"Vannett, Nick NOS TE",41.6,5.943,0,0,0,0,0,0,0,0,0,0,5,9.2,12.6,11.8,0,0,0,3,FA,6,0
65,"Ebron, Eric PIT TE",41,5.125,4.8,0,0,3.6,4,10.2,0,0,0,4.6,13.8,0,0,0,0,0,0,0,FA,7,0
66,"Shaheen, Adam MIA TE",34,2.833,0,0,0,0,5,0,8.6,2.6,3.2,9.8,4.8,0,0,0,0,0,0,0,FA,14,0
67,"Granson, Kylen IND TE",32.2,1.894,0,0,0,1.6,5.8,0,0,1,6.4,4,2.6,6.4,2.2,0,0,2.2,0,0,FA,14,0
68,"Sample, Drew CIN TE",29.2,1.718,0,0,0,0,3.8,0,0,0,10.2,0,1.6,0,0,3.8,1.4,3.8,0,4.6,FA,10,10
69,"Manhertz, Chris JAC TE",28.2,1.659,11.4,0,0,2.4,0,3.2,0,0,2.8,0,0,5.2,0,0,3.2,0,0,0,FA,7,0
70,"Smith, Lee ATL TE",28,1.75,0,2.8,10.4,0,9,0,2.4,0,0,0,0,0,0,3.4,0,0,0,0,FA,6,0
