#,Player,Pts,Avg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Status,Bye,Salary,Column26
27,"Kirk, Christian ARI WR",230.47,13.557,25.7,11.9,20.14,1.3,9.94,20.5,16,9.36,19.21,12.78,5,0,1.14,17.26,25.54,11.18,15.64,7.88,Platypi,12,7,
28,"Cooper, Amari DAL WR",219.8,14.653,40.74,5.34,5.66,18.54,17.1,11.3,0,27.52,6.92,10.16,0,0,7.56,16.66,2.28,24.5,10.38,15.14,Whiners,7,12,
29,"Thielen, Adam MIN WR",209.96,16.151,31.22,13.24,17,8.86,7.4,33.96,0,21.48,7.96,12.9,23.12,24.42,0.5,0,0,7.9,0,0,Platypi - IR,7,4,
30,"Smith, DeVonta PHI WR",207.56,12.209,20.36,3.56,5.98,23.02,14.82,5.96,12.26,2.9,27.06,24.56,11.76,4.52,3.4,0,7.9,21.3,10.14,8.06,Bucklers,14,0,
31,"Bourne, Kendrick NEP WR",204.45,12.026,3.22,4.3,24.36,11.78,6.96,18.5,20.13,6.08,6.94,28.28,9.52,24.26,0.4,0,10.64,6.28,16.56,6.24,Butchers,14,4,
32,"Brown, A.J. TEN WR",202.94,15.611,15.84,8.38,0.4,0,7.58,18.06,31.28,35.4,9.22,5.86,10.18,0,0,0,0,34.3,7.56,18.88,Platypi,13,14,
33,"Boyd, Tyler CIN WR",200.68,12.542,6.62,15.18,13.76,23.38,5.84,1.62,8.24,21.84,2.26,0,12.34,3.08,16.1,11.7,23.86,21.1,13.76,0,Gunslingers,10,1,
34,"Aiyuk, Brandon SFO WR",193.96,11.409,0,1.46,14.82,2.9,6.12,0,1.86,10.2,21.14,5.66,23.1,16.56,10.3,19.42,6.26,15,19.04,20.12,Ball Hawks,6,3,
35,"Jones, Marvin JAC WR",193.62,11.389,20.82,17.8,12.92,5.34,4.5,25.5,0,8.1,4.86,6.6,10.32,8.88,2.76,14.2,3.24,15.84,8.36,23.58,Cannons,7,0,
36,"Jefferson, Van LAR WR",191.52,11.266,19.8,2.74,8.72,23.4,3.06,4.54,14.88,15.58,8.06,10.14,0,22.38,15.56,17.38,5.78,1.46,12.08,5.96,Spawners,11,9,
37,"Meyers, Jakobi NEP WR",191.31,11.254,10.04,8.08,19.54,17.45,10.96,10.54,9.54,8.76,1.78,15.84,8.24,18.18,0,0,11.04,12.44,21.68,7.2,Cannons,14,0,
38,"Claypool, Chase PIT WR",190.1,12.673,11.3,12.5,19.86,0,29.3,3.72,0,11,7.8,0,17.68,14.62,9.62,19.18,2.72,8.56,4.22,18.02,Lizards,7,5,
39,"Green, A.J. ARI WR",180.68,11.293,5,14.54,20.42,19.22,2.58,21.14,12.06,10.5,0,1.14,14.48,0,2.74,19.82,12.24,5.78,13.34,5.68,Rockies,12,7,
40,"Gage, Russell ATL WR",176.2,12.586,0,6.98,0,0,0,0,18.72,0,13.74,0,10.34,18.92,24.3,12.24,24.56,6.24,9.5,30.66,Rockies,6,22,
41,"Patrick, Tim DEN WR",176.14,11.009,14.24,13.42,18.18,7.74,17.74,14.22,3.56,11.74,21.6,3.74,0,7.36,1.94,4.36,14.22,3.88,0,18.2,Alcoholics,11,1,
42,"Osborn, K.J. MIN WR",172.9,10.171,15.66,23.06,5.16,6.76,3.74,21.48,0,2.6,3.7,0,3.54,1.3,15.52,20.78,4.86,19.38,15.5,9.86,Butchers,7,14,
43,"Callaway, Marquez NOS WR",170.68,10.04,2.74,2.28,14.56,12.84,27.6,0,6.62,6.3,11.5,12.92,10.66,4.84,2.58,6.44,20.92,9.36,18.52,0,Fonzi,6,1,
44,"Sutton, Courtland DEN WR",166.96,9.821,2.74,29.94,8.42,9.02,28.7,25.04,13.38,7.4,2.94,5.64,0,3.72,3.4,1.94,2.92,7.28,11.1,3.38,Spawners,11,24,
45,"Wilson, Cedrick DAL WR",161.52,10.095,5.34,4.8,9.72,11.8,7.9,10.72,0,22.69,5.48,0,7.76,20.14,0,3.88,0,0.6,17.15,33.54,Spawners,7,1,
46,"Hopkins, DeAndre ARI WR",160.52,16.052,28.28,16.64,4.86,12.72,22.92,22.3,17.98,11.56,0,0,0,0,12.12,11.14,0,0,0,0,Rockies - IR,12,22,
47,"Beasley, Cole BUF WR",156.48,9.78,13.6,7.76,21.18,3.56,1.3,23.58,0,22.2,9.28,3.4,5.68,9.86,2.26,14.74,7.6,0,5.52,4.96,Martians,7,7,
48,"Hardman, Mecole KCC WR",155.78,9.164,4.54,11.3,13.08,6.26,16.66,10.62,4.48,12.58,6.7,5.72,5,0,2.42,10.54,2.86,12.46,8.98,21.58,Gunslingers,12,1,
49,"Lazard, Allen GBP WR",153.58,10.239,3.56,0,7.22,6.28,1.96,11.82,18.1,0,9.7,1.46,0,3.08,0,22.5,5.28,15.6,20.52,26.5,FA,13,0,
50,"Sanders, Emmanuel BUF WR",150.46,10.747,10.32,8.68,29.54,17.14,22.14,17.06,0,0,12.4,7.82,5.66,5.98,5.02,4.5,0,4.2,0,0,Whiners,7,3,
51,"Moore, Elijah NYJ WR",149.48,13.589,0.02,9.52,5.02,0,0,0,10.58,14.22,28.94,14.54,34.16,10.16,22.32,0,0,0,0,0,Rockies - IR,6,1,
52,"Woods, Robert LAR WR",147.86,16.429,12.62,13.54,7.38,15.68,30,11.96,15.2,21.6,19.88,0,0,0,0,0,0,0,0,0,Spawners - IR,11,11,
53,"Anderson, Robby CAR WR",143.44,8.438,15.62,7.58,1.78,10.26,5.8,9.26,3.74,0,0.82,13.92,7.3,2.9,0,22.94,9.64,11.78,2.6,17.5,FA,13,0,
54,"Raymond, Kalif DET WR",143.36,8.96,10.5,3.88,13.88,20.86,0,8.92,21.6,0,0,6.64,0,4.06,6.28,12.96,4.2,4.02,0,25.56,FA,9,0,
55,"Pringle, Byron KCC WR",141.88,8.346,1.46,17.08,2.92,4.68,8.76,10.3,14.18,2.42,0,15.36,6.42,0,2.74,4.98,5.02,27,7.1,11.46,FA,12,0,
56,"Davis, Gabriel BUF WR",141.34,8.834,13.4,0,4.18,0,3.06,5,0,12.64,0,18.3,5.32,8.52,11.8,15.38,28.1,0,7.9,7.74,Rockies,7,1,
57,"Beckham, Odell LAR WR",139.52,9.966,0,0,15.92,5.82,4.2,15.14,4.68,1.46,0,3.88,0,21.46,11.48,21.32,1.62,13.92,14.74,3.88,Lemmings,11,4,
58,"Landry, Jarvis CLE WR",138.16,11.513,21.36,1.94,0,0,0,0,8.42,11.5,0.76,6.16,13.86,17.72,0,15.06,0,10.8,9.58,21,Gunslingers,13,0,
59,"Shenault, Laviska JAC WR",135.74,8.484,12.5,0.62,11.68,20.04,9.78,11.64,0,3.98,5.54,4.7,8.5,7.78,6.7,7.44,9.34,0,3.08,12.42,Tuggers,7,7,
60,"Harris, Deonte NOS WR",133.8,10.292,18.52,2.14,6.46,10.82,18.02,0,0,9.4,11.32,15.64,4.76,1.94,23.76,0,0,0,4.68,6.34,FA,6,0,
61,"Brown, Antonio FA WR",132.9,18.986,28.56,3.22,0,13.58,35.34,25.38,0,0,0,0,0,0,0,0,0,21.16,5.66,0,Butchers,9,4,
62,"Watkins, Quez PHI WR",132.42,7.789,5.18,19.72,8.36,6.78,9.18,9.54,6.92,3.88,2.44,7.28,0,5.08,11.1,0,3.24,8.38,3.4,21.94,FA,14,0,
63,"Peoples-Jones, Donovan CLE WR",128.52,9.18,1.14,0.74,7.24,0,13.7,30.16,0,0,20.76,3.06,0,2.6,0,16.9,9.68,1.3,13.66,7.58,FA,13,0,
64,"Edwards, Bryan LVR WR",124.46,7.779,14.96,7.9,15.74,1.14,4.52,11.72,14.38,0,0,21.58,0.1,2.42,6.3,4.84,6.78,0,0,12.08,Bucklers,8,1,
65,"Berrios, Braxton NYJ WR",118.66,7.416,10.66,15.18,5.16,2.2,1.46,0,0,9.08,1.8,4.54,0,8.52,2.26,11.32,11.86,8.82,25.8,0,FA,6,0,
66,"Davis, Corey NYJ WR",117.72,13.08,30.02,2.28,9.06,25.76,9.2,0,15.52,0,0,15.38,7.1,0,3.4,0,0,0,0,0,FA,6,0,
67,"Westbrook-Ikhine, Nick TEN WR",117.16,7.323,2.1,1.46,14.48,6.14,0,5.82,0,9.56,2.74,2.1,20.62,11,0,6.46,7.12,7.08,0,20.48,FA,13,0,
68,"Jones, Zay LVR WR",115.36,6.786,14.36,0,2.9,1.3,1.46,0,7.38,0,3.7,4.02,3.7,12.44,4.86,4.5,13.72,11,23.2,6.82,FA,8,6,
69,"Parker, DeVante MIA WR",114.4,11.44,14.96,9.22,8.72,20.32,0,0,0,17.6,0,0,0,0,12.42,0,18.88,0,9.36,2.92,Cannons,14,0,
70,"Agholor, Nelson NEP WR",113.58,7.572,20.02,4.86,3.72,10.8,6.62,5.02,15.16,11.1,0,4.36,14.9,4.7,0.7,0,7.44,0,0,4.18,FA,14,0,
71,"Bateman, Rashod BAL WR",113.4,9.45,0,0,0,0,0,6.64,14.3,0,10.82,17.8,6.14,6.96,0,19.98,1.3,12.16,12.78,4.52,Ball Hawks,8,2,
72,"Moore, Rondale ARI WR",110,7.857,12.88,25.74,1.56,7.08,16.04,5.36,3.72,5.64,6.5,2.8,13.66,0,2.28,3.6,3.14,0,0,0,Tuggers,12,13,
73,"Guyton, Jalen LAC WR",109.28,6.83,9.34,4.08,0.4,4.14,6.6,2.9,0,3.38,3.54,0,3.68,4.68,22.4,21.42,8.6,0,2.8,11.32,FA,7,0,
74,"Crowder, Jamison NYJ WR",107.9,8.992,0,0,0,19.26,6.84,0,7.44,16.44,8.58,4.7,16.04,1.3,11.92,4.54,8.9,0,0,1.94,FA,6,0,
75,"Cobb, Randall GBP WR",104.2,8.683,5.82,5.66,0,25.54,5.8,0,5.02,15.9,9.5,4.86,2.9,23.2,0,0,0,0,0,0,FA,13,0,
76,"Golladay, Kenny NYG WR",101.86,7.276,12.24,7.58,12.24,21.56,0,0,0,0,5.48,0,2.42,9.5,7.42,3.4,9.98,5.02,0,5.02,FA,10,0,
77,"Ruggs, Henry FA WR",100.94,14.42,8.36,26.88,15.28,11.1,9.66,23.02,6.64,0,0,0,0,0,0,0,0,0,0,0,FA,8,0,
78,"Gallup, Michael DAL WR",100.7,11.189,7.76,0,0,0,0,0,0,0,0,8.22,9.54,19.46,14.26,12.1,6.62,9.48,13.26,0,Martians,7,0,
79,"Valdes-Scantling, Marquez GBP WR",99.8,9.073,4.22,0,16.94,0,0,0,0,0,4.04,7.06,27.68,10,0,4.7,24.18,0,0.98,0,Platypi,13,3,
80,"Swain, Freddie SEA WR",99.08,5.828,0.6,24.3,3.3,12.7,1.94,2.36,9.14,0,0,0,0,11.62,4.38,0.4,4.5,1.94,11.4,10.5,FA,9,0,
81,"Zaccheaus, Olamide ATL WR",98.76,5.809,0,4.52,12.62,2.9,4.2,0,2.58,2.42,22.78,4.52,5.18,1.3,8.84,0,9.48,6.12,2.28,9.02,FA,6,0,
82,"Pascal, Zach IND WR",98.74,6.171,20.88,14.58,5.96,9.04,9.18,0,3.74,9.38,11.28,2.44,1,0.92,2.76,0,4.18,0,1.78,1.62,FA,14,0,
83,"Palmer, Josh LAC WR",97.68,5.746,3.22,4.36,0,0,2.92,1.78,0,10.34,4.52,5.02,3.92,5,0,19.06,2.9,15.38,4.06,15.2,FA,7,0,
84,"Collins, Nico HOU WR",93.86,6.704,1.62,5.62,0,0,0,9.04,5.48,10.8,5.5,0,1.94,5.48,0,13.54,3.24,12.78,6.6,12.22,FA,10,0,
85,"Jackson, DeSean LVR WR",93.14,5.821,4.36,0,26.7,1.46,11.38,1.46,0,0,0,4.58,0.5,23.82,2.74,3.54,2.26,9.04,1.3,0,FA,8,0,
86,"Smith, Tre'Quan NOS WR",92.32,8.393,0,0,0,0,0,0,2.26,12.78,9.98,15.04,12.74,6.96,3.4,6.78,1.72,0,0,20.66,FA,6,0,
87,"Jeudy, Jerry DEN WR",92.22,9.222,14.52,0,0,0,0,0,0,8.34,14.04,9.08,0,5,14.32,10.02,0,11.1,0,5.8,Alcoholics,11,4,
88,"Treadwell, Laquon JAC WR",91.94,7.662,0,0,0,0,0,0,0,0,0,3.38,2.26,10.48,11.92,12.88,12.12,10.64,16.92,11.34,FA,7,0,
89,"Robinson, Allen CHI WR",91.6,7.633,8.6,10.84,5.32,11.58,7.12,10.48,3.56,4.86,12.88,0,0,0,0,3.24,0,0,7.6,5.52,FA,10,0,
90,"Cole, Keelan NYJ WR",91.44,6.096,0,0,5.8,16.22,7.08,0,1.46,5.5,13.06,3.38,0,4.84,0,4.82,1.54,5,6.6,16.14,FA,6,1,
91,"Jones, Julio TEN WR",90.94,9.094,6.14,23.48,9.02,0,0,10.94,7.08,0,7.6,0,0,0,0,7.28,0,1.62,0,17.78,Rockies - IR,13,1,
92,"Reynolds, Josh DET WR",89.86,7.488,0,0,0,12.44,1.78,0,5.18,0,0,0,0,18.7,13.04,9.82,19.88,6.76,0,2.26,FA,9,0,
93,"Jennings, Jauan SFO WR",89.12,5.57,0,9.72,0,2.74,0,0,0,0,0,0.98,3.14,10.84,1.78,8.86,11.98,4.04,5,30.04,FA,6,0,
94,"Duvernay, Devin BAL WR",87.92,5.495,3.46,8.2,10.52,6.46,9.2,4.6,2.16,0,8.28,8.48,7.92,2.22,4.36,3.64,3.58,0,4.54,0.3,FA,8,0,
95,"Toney, Kadarius NYG WR",87.71,8.771,0.68,0,3.56,15.68,35.64,7.26,0,7.11,0.6,0,9.5,0,0,0,0,7.68,0,0,FA,10,0,
96,"Carter, DeAndre WAS WR",87.26,5.133,0,0.3,0,4.34,13.12,0,1.94,15.66,0,16.96,10.32,11.22,1.46,2.92,4.22,2.9,0.7,1.2,FA,9,0,
