Rank,Player,Pts,Avg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Status,Bye,Salary
156,"Kelly, John CLE RB",1.5,0.375,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,FA,13,0
157,"Ozigbo, Devine NEP RB",1.42,0.473,0,0,0,0,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,FA,7,0
158,"Patrick, Jacques FA RB",1.4,0.7,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,6,0
159,"Bellore, Nick SEA RB",1.14,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,FA,9,0
160,"Crockett, Damarea DEN RB",1,0.083,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,11,0
161,"Cannon, Trenton SFO RB",0.7,0.058,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,6,0
162,"Funk, Jake LAR RB",0.7,0.07,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,11,0
163,"Blasingame, Khari TEN RB",0.54,0.049,0,0,0,0,0,0,0,0,0,0,0,-1.1,0,0,0,0.34,0,1.3,FA,13,0
164,"Barner, Kenjon TBB RB",0.4,0.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,FA,9,0
165,"Cottrell, Nathan JAC RB",0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,FA,7,0
166,"Adams, Josh NOS RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,6,11
167,"Bradwell, Darius CAR RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,7,0
168,"Brown, Spencer CAR RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,13,0
169,"Carter, Tory TEN RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,13,0
170,"Cohen, Tarik CHI RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hedgehogs - IR,10,0
171,"Doaks, Gerrid MIA RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,14,0
172,"Edmunds, Trey PIT RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,7,0
173,"Gillaspia, Cullen NYG RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,10,0
174,"Hill, Brian FA RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,6,5
175,"Johnson, Josh SEA RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,9,0
176,"Johnson, Kerryon FA RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,6,0
177,"Jones, Taiwan BUF RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,7,0
178,"McCrary, Nate BAL RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,8,0
179,"McGuire, Elijah FA RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,12,3
180,"Olonilua, Sewo DAL RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,7,0
181,"Pierce, Artavis FA RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,10,0
182,"Platzgummer, Sandro FA RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,10,0
183,"Scarlett, Jordan FA RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,14,0
184,"Smith, Sutton LVR RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,8,0
185,"Thompson, Darwin KCC RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,9,1
186,"Wilkins, Jordan FA RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lemmings,13,0
187,"Williams, Pooka FA RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,10
