Rank,Player,Pts,Avg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Status,Bye,Salary
32,"Hubbard, Chuba CAR RB",154.74,9.102,1.64,1.8,12.12,10.24,20.28,14.84,10.48,16.54,6.38,9.6,0,0.8,0,10.3,7.46,1.5,16.78,13.98,Alcoholics,13,84
33,"Booker, Devontae NYG RB",154.68,9.667,2.56,1.92,0,2.16,21.86,11.78,15.9,20.4,17.18,0,3.1,4.52,9.08,12.88,10.48,8.34,7.4,5.12,Cannons,10,65
34,"Freeman, Devonta BAL RB",154.3,9.644,0,3.1,1.1,0.5,7.14,12.2,13.3,0,16.84,9.68,20.46,8.58,22.3,11.48,3.62,9.78,9.66,4.56,Hedgehogs,8,6
35,"Davis, Mike ATL RB",145.54,8.561,11.58,12.2,11.4,11.62,12.88,0,1.4,11.32,3.5,2.2,5.1,7.6,17.52,14.72,2.7,5.12,13.9,0.78,Lizards,6,11
36,"McCaffrey, Christian CAR RB",139.48,19.926,30.64,28.5,6.24,0,0,0,0,0,15.24,26.36,28,4.5,0,0,0,0,0,0,Alcoholics - IR,13,37
37,"Mattison, Alexander MIN RB",138.98,8.686,1.44,4.62,26.24,3,27.7,1.3,0,0.9,1.38,6.34,0.8,10.92,24.14,3.3,0,19.54,4.08,3.28,Whiners,7,6
38,"McKissic, J.D. WAS RB",135.02,12.275,0.9,23.18,6,17.74,1.88,19.7,10.04,18.58,0,8.2,6.44,22.36,0,0,0,0,0,0,Cannons,9,1
39,"Penny, Rashaad SEA RB",133.48,13.348,1,0,0,0,0,0,1.5,1.4,0,0,2.1,0,9.32,27.96,6.8,21.2,34.9,27.3,Spawners,9,19
40,"Bolden, Brandon NEP RB",130.3,7.665,0.6,0,5.38,11.26,5.66,0.98,21.84,3,9.52,11.08,3.6,10.64,6.82,0,8.76,4.8,4.86,21.5,FA,14,0
41,"Williams, Jamaal DET RB",129.52,9.963,25.26,6.62,16.4,8,9.28,1.68,6.9,0,0,0,1.8,13.38,8.74,0,0,9.6,14.32,7.54,Rockies,9,2
42,"Gainwell, Kenneth PHI RB",128.88,8.055,12.56,7.88,6.92,21.68,3.58,0.66,15.06,4,6.5,2.64,0,6.62,20.38,0,0,1.46,0.5,18.44,Ball Hawks,14,15
43,"Edwards-Helaire, Clyde KCC RB",128.74,12.874,11.84,3.9,18.14,20.52,4.26,0,0,0,0,0,16.58,0,12.78,21,8.98,10.74,0,0,Martians,12,23
