Rank,Player,Pts,Avg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Status,Bye,Salary
31,"Darnold, Sam CAR QB",87.49,7.291,18.09,18.81,17.14,27.55,-0.11,4.19,-3.48,9.45,-8.4,0,0,0,0,0,0,-0.94,-8.78,13.97,FA,13,0
32,"Siemian, Trevor NOS QB",75.04,12.507,0,0,0,0,0,0,0,7.91,14.45,16.02,21.3,5.27,0,0,0,0,0,10.09,Gunslingers,6,0
33,"Lance, Trey SFO QB",68.15,11.358,6.75,0,6.2,22.01,10.26,0,0,0,0,0,0.7,0,0,0,0,0,22.23,0,Alcoholics - TS,6,0
34,"Wilson, Zach NYJ QB",66.3,5.1,10.06,-5.94,-8.74,18.43,0.76,0,-0.37,0,0,0,0,0.31,19,0.64,2.34,22.32,10.9,-3.41,Rockies,6,0
35,"Fields, Justin CHI QB",64.54,5.378,6.9,-0.7,-12.38,5.29,3.95,7.72,-4.84,17.27,15.53,0,-0.19,0,0,12.94,13.05,0,0,0,Alcoholics,10,0
36,"Newton, Cam CAR QB",59.78,7.473,0,0,0,0,0,0,0,0,0,13.7,29.53,-0.56,0,7.6,9.52,-0.61,0.6,0,Spawners,13,3
37,"Taylor, Tyrod HOU QB",59.64,9.94,23.07,19.45,0,0,0,0,0,0,-5.64,0,16.45,10.42,-4.11,0,0,0,0,0,Whiners,10,0
38,"Dalton, Andy CHI QB",56.43,7.054,-0.72,9.38,0,0,0.4,0,0,0,0,0,15.53,16.27,9.77,0,0,0,5.11,0.69,Alcoholics - TS,10,1
39,"Huntley, Tyler BAL QB",51.47,7.353,0,0,0,0,0,1.3,-0.45,0,0,0,-0.07,0,0,8.56,37.39,0,2.65,2.09,FA,8,0
40,"Johnson, Josh BAL QB",48.08,12.02,0,0,0,0,0,0,0,0.05,25.89,0,0,2,0,0,0,20.14,0,0,FA,8,0
41,"Smith, Geno SEA QB",42.52,8.504,0,0,0,0,10.35,4.09,5.33,22.75,0,0,0,0,0,0,0,0,0,0,Butchers - TS,9,0
42,"Hinton, Kendall DEN QB",41.55,2.597,0,2.9,0,2.58,11,8.42,3.4,0,6.9,0,0,0,1.62,0,0,0,4.73,0,FA,11,0
43,"White, Mike NYJ QB",40.73,10.182,0,0,0,0,0,0,5.98,30.13,9.15,-4.53,0,0,0,0,0,0,0,0,Rockies - TS,6,0
